OBJECTID_1,OBJECTID_2,RLGIS_ID,Lit,OrgCode,Cmplx_Name,OrgName,Dvsn_Name,Unit_Name,Subunit_Na,StateAbbr,Region,Origin,Loc_Name,SOI_Feat,Obs_Date,Derived,Com_Name,Sci_Name,TSN,Status,Comments,TYPE,LOCATION,TREE_TYPE,SPP,IDENT,IDENTS,DBH,BASAL,SIDE,TOP,CAV_WIDTH,CAV_HEIGHT,CHAMHEIGHT,SNAG,TOT_CHAMB,WALL_THICK,INSID_CHAM,Orig_Date,Distance,RSL_Type,X,Y,COMMENT,CHECKED,CHAM_WDTH,WALL_WIDTH,USE_TREE,COLONY,BAT_SPP,PWTR_DIST,WWTR_DIST,CAVTR_DIST,EDGE_DIST
1,1,{0608AC69-A889-4F98-9281-C2662CB3252B},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,SITE 3,Cavity,7/18/2006,,,,0,,"needs to be tagged, CAN'T SEE TOP",WAYPOINT,SITE 3,P,SG,,002,20,Y,N,N,3,3,0,N,0.00000000000,0.00000000000,0.00000000000,CRTD 15:47 18-JUL-06,0.00000006402,NWR,-88.73356823170,33.27030833800,CRTD 15:47 18-JUL-06,,,,,,,,,,
2,2,{61B00422-09E5-4AAE-B4B8-BA3F94649DE3},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,SITE 3,Cavity,7/18/2006,,,,0,,needs to be tagged,WAYPOINT,SITE 3,P,GA,,003,14,Y,N,N,7,30,108,N,0.00000000000,0.00000000000,0.00000000000,CRTD 15:59 18-JUL-06,0.00000005814,NWR,-88.73506490430,33.27043708410,CRTD 15:59 18-JUL-06,,,,,,,,,,
3,3,{1A75DAD0-246B-4CEC-9ED0-066B26E8B362},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,SITE 3,Cavity,7/18/2006,,,,0,,"needs to be tagged, HAD 1 RAF!",WAYPOINT,SITE 3,A,WLO,,004,42,Y,N,N,14,84,216,N,0.00000000000,0.00000000000,0.00000000000,CRTD 16:34 18-JUL-06,0.00000005810,NWR,-88.73909894670,33.27235218130,CRTD 16:34 18-JUL-06,,,,,,,,,,
4,4,{D098E719-DA9C-4F4F-AD3B-C1552B11DFA5},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,5/24/2006,,,,0,,,WAYPOINT,GTR1,A,SG,341,14A-1,22,Y,N,N,13,26,105,N,0.00000000000,0.00000000000,0.00000000000,CRTD 10:29 24-MAY-06,0.00000005884,NWR,-88.76490716180,33.27880557620,CRTD 10:29 24-MAY-06,Y,10,8,N,ND,,1114,0,49,328
5,5,{884B683F-35D0-4C22-AC71-8B28C0459C8D},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,,,,,0,,,WAYPOINT,WILD,A,AB,101,101,0,Y,N,Y,19,23,0,N,0.00000000000,0.00000000000,0.00000000000,,0.00000005853,NWR,-88.82675890180,33.29087551680,,Y,23,5.5,Y,N,RAF,4,4,67,0
6,6,{B1D75C62-6C0E-4A3D-9040-7AAAFA17ACF4},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,SITE 3,Cavity,,,,,0,,Cut window,WAYPOINT,SITE 3,A,BCY,202,202,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000006157,NWR,-88.74268774230,33.26382812100,,Y,48,4.5,Y,W,BOTH,47,47,296,134
7,7,{8D5FB671-113B-4014-A37D-A6658D9DA436},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,Oktoc Creek,Cavity,,,,,0,,Cut Window,WAYPOINT,Oktoc Creek,A,,203,203,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005855,NWR,-88.73474840360,33.26430555420,,N,-,-,N,ND,,4,4,189,297
8,8,{95F98DC3-E822-4144-B600-945C5DED31CD},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,,,,,0,,"top broken, but has ceiling",WAYPOINT,WILD,,RM,208,208,30,Y,N,Y,14,26,300,N,0.00000000000,0.00000000000,0.00000000000,,0.00000005701,NWR,-88.82624391770,33.29391714180,,Y,22,4.5,N,ND,,252,252,21,324
9,9,{64D8C272-2407-46B8-9108-DF3BAF2C0CEC},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,,,,,0,,,WAYPOINT,WILD,,SG,209,209,28,Y,N,N,9,12,0,N,0.00000000000,0.00000000000,0.00000000000,,0.00000005486,NWR,-88.82618490910,33.29583760350,,Y,11.5,9,Y,Y,SE,459,459,17,616
10,10,{1A9A10E6-0FEF-48A5-9AEF-8136676E2B7F},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,,,,,0,,has ceiling,WAYPOINT,WILD,,SG,210,210,24,Y,N,Y,17,14,0,Y,0.00000000000,0.00000000000,0.00000000000,,0.00000005937,NWR,-88.82694129200,33.29642232500,,Y,-,-,Y,Y,BOTH,435,435,32,571
11,11,{3E29AE25-9FF6-4D5D-96A1-6CBA37D02722},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,,,,,0,,,WAYPOINT,WILD,,YP,211,211,24,N,Y,N,0,0,0,N,0.00000000000,0.00000000000,0.00000000000,,0.00000005790,NWR,-88.82642094350,33.29609509550,,N,-,-,N,ND,,458,458,20,603
12,12,{761F1F5D-3358-4E65-90A6-4F826F559252},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,,,,,0,,,WAYPOINT,WILD,,SG,233,233,28,Y,N,N,8,87,144,N,0.00000000000,0.00000000000,0.00000000000,,0.00000005102,NWR,-88.81063346120,33.30304201690,,Y,-,-,N,ND,,142,8,88,590
13,13,{18211428-0362-4FAB-821C-F9840EBE0495},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,,,4,4,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005696,NWR,-88.77026085100,33.27293153840,,Y,11.5,6,N,ND,,41,41,1,3
14,14,{275E6B15-F531-448C-9AF9-5540DD26B4A3},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,,,8,8,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000006035,NWR,-88.77235297410,33.27221807080,,Y,21.5,4.5,N,ND,,71,71,7,40
15,15,{42244BF2-AAE6-4E44-8933-0D3D4623A712},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,,,9,9,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005755,NWR,-88.77248172010,33.27223952850,,Y,22,4,Y,N,RAF,66,66,3,40
16,16,{1BCDD843-A9DE-40C2-A252-91C3F3AF4DC3},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,,,11,11,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005705,NWR,-88.76986924850,33.27244874080,,Y,14,2,N,ND,,3,3,63,4
17,17,{43ECF682-9FA4-4629-A170-12B9855D3FA8},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,,BT,12,12,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005867,NWR,-88.77280358520,33.27331241210,,Y,14.5,2.5,Y,W,BOTH,52,52,81,12
18,18,{D9BF4987-CC91-40FF-9697-4EB28AB17304},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,A,,20,20,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000006387,NWR,-88.77375845160,33.27408488830,,Y,8,2.5,N,ND,,76,76,41,30
19,19,{2FD0BA6E-4F0A-4A6E-AE91-F0C81D340767},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,beaver dam tr,WAYPOINT,GTR1,A,,21,21,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005777,NWR,-88.77342585770,33.27383276070,,Y,12.5,6,Y,N,BOTH,47,47,41,2
20,20,{292A27F9-0123-43B9-82D7-FA8A2A986A06},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,along river road,WAYPOINT,GTR1,,,265,265,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005703,NWR,-88.76097504340,33.29013522710,,Y,39,8,Y,W,BOTH,2,2,45,77
21,21,{64A1873D-B3F1-4E85-9116-26CF4F20B97F},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,accross Noxubee river,WAYPOINT,GTR1,,,266,266,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005821,NWR,-88.77106551370,33.29107936470,,N,-,-,N,ND,,8,8,56,336
22,22,{96D4123D-8B2E-4134-8E36-03A9AB58DECA},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,SITE 3,Cavity,,,,,0,,Along Oktoc Creek,WAYPOINT,SITE 3,A,,269,269,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000006127,NWR,-88.73916868410,33.26596315940,,Y,19.5,6,N,ND,,55,55,39,96
23,23,{B62BD4FD-ED6D-4BD8-B97E-13D0D3BDECED},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,,WAYPOINT,GTR1,,SG,272,272,28,Y,N,N,21,15,20,N,0.00000000000,0.00000000000,0.00000000000,,0.00000005127,NWR,-88.76551334110,33.27465351660,,Y,18,4,Y,N,BOTH,40,40,101,111
24,24,{59B08209-D08D-4B33-BDDA-14892F5655AC},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,SITE 3,Cavity,,,,,0,,Along Oktoc Creek,WAYPOINT,SITE 3,A,,281,281,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005919,NWR,-88.73891655640,33.26563592990,,Y,8,2,N,ND,,30,30,39,130
25,25,{9D8769F6-FE92-4682-9157-2D7239AC7A72},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,accross Noxubee river,WAYPOINT,GTR1,,,282,282,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005267,NWR,-88.77681616990,33.28632112590,,N,-,-,N,ND,,213,213,17,151
26,26,{A82C5CD1-83D8-4DCD-A8B9-FFA3FFF18264},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,11/5/2005,,,,0,,,WAYPOINT,GTR1,,BT,328,328,16,Y,N,N,11,13,72,N,0.00000000000,0.00000000000,0.00000000000,5-November-2005,0.00000005965,NWR,-88.77043251240,33.28398760400,5-November-2005,Y,11,2,N,ND,,779,89,39,639
27,27,{DE397EEA-F7C5-4D84-BF7B-5703840068BA},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,,,,,0,,,WAYPOINT,GTR1,,,357,T2,0,,,,0,0,0,,0.00000000000,0.00000000000,0.00000000000,,0.00000005645,NWR,-88.75839475830,33.28644987190,,Y,20,2,Y,N,RAF,175,172,34,47
28,28,{A64758BA-2266-4559-8D51-F808564022A8},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,GTR1,Cavity,11/5/2005,,,,0,,"accross Noxubee river, 1raf",WAYPOINT,GTR1,A,SG,358,358,30,Y,N,N,6,12,84,N,0.00000000000,0.00000000000,0.00000000000,5-November-2005,0.00000005388,NWR,-88.77152148930,33.29061802470,5-November-2005,Y,5,2,Y,N,RAF,46,46,61,169
29,29,{6A3FFB7C-4079-4E75-AAEC-8B6AC8E1F8D9},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/12/2006,,,,0,,,WAYPOINT,WILD,P,AB,253,253,22,N,Y,N,0,0,0,N,0.00000000000,0.00000000000,0.00000000000,12-January-2006,0.00000005375,NWR,-88.83632365920,33.30070849500,12-January-2006,N,-,-,N,ND,,136,136,9,106
30,30,{260C0742-D3B6-4DAC-BA25-62435EE54DDE},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/12/2006,,,,0,,couldn't see all the way up,WAYPOINT,WILD,P,AHL,254,254,10,Y,Y,N,7,20,240,N,0.00000000000,0.00000000000,0.00000000000,12-January-2006,0.00000005393,NWR,-88.83635048130,33.30077823250,12-January-2006,Y,6,2,N,ND,,139,139,9,90
31,31,{3C0F40F5-96D2-4CB3-B23E-551E165FF3B6},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/12/2006,,,,0,,,WAYPOINT,WILD,P,AB,260,260,26,Y,N,N,10,32,120,N,0.00000000000,0.00000000000,0.00000000000,12-January-2006,0.00000006139,NWR,-88.83647386290,33.30047246060,12-January-2006,Y,20,2,Y,N,SE,159,159,9,130
32,32,{C1C3B4B9-B686-464B-BE5A-F8382B7FED02},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/12/2006,,,,0,,,WAYPOINT,WILD,P,AB,262,262,26,Y,N,N,9,66,136,N,0.00000000000,0.00000000000,0.00000000000,12-January-2006,0.00000005655,NWR,-88.83654360030,33.30043490970,12-January-2006,Y,12.5,6,N,ND,,168,168,9,130
33,33,{6FD7A941-B679-434B-BF6A-FC474A9CF2DD},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/11/2006,,,,0,,,WAYPOINT,WILD,P,SG,204,204,24,Y,N,N,12,20,72,N,0.00000000000,0.00000000000,0.00000000000,11-January-2006,0.00000005862,NWR,-88.84284142710,33.30375012010,11-January-2006,Y,15,4,N,ND,,41,41,19,238
34,34,{206D7C24-A4EB-45B1-91B9-0ECF4FE8A2F1},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/12/2006,,,,0,,,WAYPOINT,WILD,P,SG,206,206,10,Y,N,N,4,26,77,N,0.00000000000,0.00000000000,0.00000000000,12-January-2006,0.00000006151,NWR,-88.83360926360,33.30181892960,12-January-2006,Y,6.5,2,N,ND,,35,35,8,87
35,35,{1E76B654-B81B-43D9-A589-39604B06C076},NXB,43620,,NOXUBEE NATIONAL WILDLIFE REFUGE,Noxubee National Wildlife Refuge,,,MS,4,,WILD,Cavity,1/12/2006,,,,0,,,WAYPOINT,WILD,P,AB,207,207,20,Y,N,N,6,19,240,N,0.00000000000,0.00000000000,0.00000000000,12-January-2006,0.00000005897,NWR,-88.83702103350,33.29781707370,12-January-2006,Y,13,4,Y,N,SE,338,338,10,271
